294;Alm. Salg;1925000;12339;04-08-2014;
295;Alm. Salg;1270000;15875;24-04-2013;
296;Alm. Salg;2680000;19851;09-09-2014;
297;Alm. Salg;390000;6724;21-05-1996;
298;Alm. Salg;4932000;18896;26-07-2006;
299;Alm. Salg;1158000;10339;22-06-2005;
300;;611975;5719;28-12-2001;
301;Alm. Salg;1100000;8461;08-04-2014;
302;Alm. Salg;925000;16818;28-08-2006;
303;Alm. Salg;2420000;13988;12-10-2007;
304;Alm. Salg;730000;7156;30-05-1996;
305;Alm. Salg;2100000;13043;01-05-2013;
306;;329321;2195;28-10-2002;
307;Alm. Salg;1723000;15383;27-05-2003;
308;Alm. Salg;869000;14483;22-01-2009;
309;Alm. Salg;1415000;9370;11-01-2002;
310;Alm. Salg;1267725;8683;19-11-2000;
311;Alm. Salg;1185000;12473;20-07-2012;
312;Fam. Salg;561000;4035;27-05-2004;
313;Alm. Salg;615735;10802;11-06-2001;
314;Alm. Salg;1460000;8957;21-09-2003;
315;Alm. Salg;775000;9011;04-03-2008;
316;Alm. Salg;950000;10674;30-04-2008;
317;Alm. Salg;180211;5631;29-01-1998;
318;Alm. Salg;1900000;11728;06-07-2009;
319;Alm. Salg;727762;7277;31-05-1999;
320;Fam. Salg;400000;4878;18-03-1996;
321;Fam. Salg;420000;8400;30-07-2012;
322;Alm. Salg;1110000;13058;23-03-2014;
323;Alm. Salg;1600000;8040;23-04-2002;
324;Fam. Salg;671500;5595;04-06-2001;
325;Alm. Salg;1060000;7361;16-03-2000;
326;Alm. Salg;1150000;7371;06-10-2009;
327;Alm. Salg;525000;5833;02-05-1997;
328;Alm. Salg;1050000;5675;31-10-1996;
329;Alm. Salg;1960000;13900;09-03-2015;
330;Alm. Salg;562500;7812;14-10-2011;
331;Alm. Salg;815000;4630;09-05-2001;
332;Alm. Salg;850000;7264;21-09-2005;
333;Alm. Salg;600000;4724;10-01-2012;
334;Alm. Salg;834032;5415;04-03-2002;
335;Alm. Salg;1051500;7619;14-07-2014;
336;Alm. Salg;860000;14333;29-06-2005;
337;Alm. Salg;2000000;12738;14-06-2011;
338;Alm. Salg;2695000;19250;06-06-2006;
339;Alm. Salg;300000;2830;21-03-2000;
340;Alm. Salg;731500;12612;31-10-2008;
341;Fam. Salg;680000;9066;30-09-2005;
342;Alm. Salg;1000000;8474;16-08-2012;
343;Alm. Salg;1650000;22000;07-01-2012;
344;Alm. Salg;910000;8272;07-06-2002;
345;Alm. Salg;1211000;7812;28-02-1997;
346;Alm. Salg;960000;5925;18-03-2003;
347;Alm. Salg;450000;6081;25-02-2015;
348;Alm. Salg;635000;6479;01-02-2006;
